Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG
CIN,NL,1988,641,596,87,0.309,0.368,0.246,0,,,161,0.299,0.361
CLE,AL,1988,666,731,78,0.314,0.387,0.261,0,,,162,0.322,0.392
DET,AL,1988,703,658,88,0.324,0.378,0.25,0,,,162,0.309,0.384
HOU,NL,1988,617,631,82,0.306,0.351,0.244,0,,,162,0.3,0.36
KCR,AL,1988,704,648,84,0.321,0.391,0.259,0,,,161,0.316,0.376
LAD,NL,1988,628,544,94,0.305,0.352,0.248,1,3.0,1.0,162,0.295,0.34
MIL,AL,1988,682,616,87,0.314,0.375,0.257,0,,,162,0.3,0.368
MIN,AL,1988,759,672,91,0.34,0.421,0.274,0,,,162,0.322,0.403
MON,NL,1988,628,592,81,0.309,0.373,0.251,0,,,163,0.297,0.359
NYM,NL,1988,703,532,100,0.325,0.396,0.256,1,2.0,3.0,160,0.288,0.334
NYY,AL,1988,772,748,85,0.333,0.395,0.263,0,,,161,0.326,0.408
OAK,AL,1988,800,620,104,0.336,0.399,0.263,1,1.0,2.0,162,0.313,0.376
PHI,NL,1988,597,734,65,0.306,0.355,0.239,0,,,162,0.337,0.398
PIT,NL,1988,651,616,85,0.317,0.369,0.247,0,,,160,0.307,0.366
SDP,NL,1988,594,583,83,0.31,0.351,0.247,0,,,161,0.3,0.36
SEA,AL,1988,664,744,68,0.317,0.398,0.257,0,,,161,0.325,0.4
SFG,NL,1988,670,626,83,0.318,0.368,0.248,0,,,162,0.294,0.346
STL,NL,1988,578,633,76,0.309,0.337,0.249,0,,,162,0.307,0.355
TEX,AL,1988,637,735,70,0.32,0.368,0.252,0,,,161,0.327,0.394
TOR,AL,1988,763,680,87,0.332,0.419,0.268,0,,,162,0.323,0.397
ATL,NL,1987,747,829,69,0.339,0.403,0.258,0,,,161,0.344,0.43
BAL,AL,1987,729,880,67,0.322,0.418,0.258,0,,,162,0.339,0.453
BOS,AL,1987,842,825,78,0.352,0.43,0.278,0,,,162,0.34,0.441
CAL,AL,1987,770,803,75,0.326,0.401,0.252,0,,,162,0.324,0.432
CHC,NL,1987,720,801,76,0.326,0.432,0.264,0,,,161,0.345,0.428
CHW,AL,1987,748,746,77,0.319,0.415,0.258,0,,,162,0.324,0.422
CIN,NL,1987,783,752,84,0.33,0.427,0.266,0,,,162,0.322,0.409
CLE,AL,1987,742,957,61,0.324,0.422,0.263,0,,,162,0.347,0.459
DET,AL,1987,896,735,98,0.349,0.451,0.272,1,1.0,3.0,162,0.323,0.412
HOU,NL,1987,648,678,76,0.318,0.373,0.253,0,,,162,0.313,0.385
KCR,AL,1987,715,691,83,0.328,0.412,0.262,0,,,162,0.328,0.401
LAD,NL,1987,635,675,73,0.309,0.371,0.252,0,,,162,0.322,0.389
MIL,AL,1987,862,817,91,0.346,0.428,0.276,0,,,162,0.331,0.42
MIN,AL,1987,786,806,85,0.328,0.43,0.261,1,4.0,1.0,162,0.335,0.442
MON,NL,1987,741,720,91,0.328,0.401,0.265,0,,,162,0.309,0.385
NYM,NL,1987,823,698,92,0.339,0.434,0.268,0,,,162,0.315,0.386
NYY,AL,1987,788,758,89,0.336,0.418,0.262,0,,,162,0.329,0.423
OAK,AL,1987,806,789,81,0.333,0.428,0.26,0,,,162,0.322,0.414
PHI,NL,1987,702,749,80,0.327,0.41,0.254,0,,,162,0.331,0.413
PIT,NL,1987,723,744,80,0.33,0.403,0.264,0,,,162,0.32,0.402
SDP,NL,1987,668,763,65,0.332,0.378,0.26,0,,,162,0.329,0.416
SEA,AL,1987,760,801,78,0.335,0.428,0.272,0,,,162,0.329,0.434
SFG,NL,1987,783,669,90,0.324,0.43,0.26,1,3.0,3.0,162,0.319,0.391
STL,NL,1987,798,693,95,0.34,0.378,0.263,1,2.0,2.0,162,0.327,0.394
TEX,AL,1987,823,849,75,0.333,0.43,0.266,0,,,162,0.345,0.444
TOR,AL,1987,845,655,96,0.336,0.446,0.269,0,,,162,0.313,0.391
ATL,NL,1986,615,719,72,0.319,0.381,0.25,0,,,161,0.334,0.398
BAL,AL,1986,708,760,73,0.327,0.395,0.258,0,,,162,0.326,0.418
BOS,AL,1986,794,696,95,0.346,0.415,0.271,1,3.0,2.0,161,0.323,0.412
CAL,AL,1986,786,684,92,0.338,0.404,0.255,1,4.0,3.0,162,0.307,0.389
CHC,NL,1986,680,781,70,0.318,0.398,0.256,0,,,160,0.34,0.415
CHW,AL,1986,644,699,72,0.31,0.363,0.247,0,,,162,0.32,0.396
CIN,NL,1986,732,717,86,0.325,0.387,0.254,0,,,162,0.321,0.391
CLE,AL,1986,831,841,84,0.337,0.43,0.284,0,,,163,0.343,0.431
DET,AL,1986,798,714,87,0.338,0.424,0.263,0,,,162,0.321,0.411
HOU,NL,1986,654,569,96,0.322,0.381,0.255,1,2.0,3.0,162,0.291,0.348
KCR,AL,1986,654,673,76,0.313,0.39,0.252,0,,,162,0.317,0.383
LAD,NL,1986,638,679,73,0.313,0.37,0.251,0,,,162,0.315,0.375
MIL,AL,1986,667,734,77,0.321,0.385,0.255,0,,,161,0.325,0.412
MIN,AL,1986,741,839,71,0.325,0.428,0.261,0,,,162,0.34,0.444
MON,NL,1986,637,688,78,0.322,0.379,0.254,0,,,161,0.314,0.374
NYM,NL,1986,783,578,108,0.339,0.401,0.263,1,1.0,1.0,162,0.299,0.355
NYY,AL,1986,797,738,90,0.347,0.43,0.271,0,,,162,0.32,0.413
OAK,AL,1986,731,760,76,0.322,0.39,0.252,0,,,162,0.328,0.412
PHI,NL,1986,739,713,86,0.327,0.4,0.253,0,,,161,0.328,0.396
PIT,NL,1986,663,700,64,0.321,0.374,0.25,0,,,162,0.323,0.394
SDP,NL,1986,656,723,74,0.321,0.388,0.261,0,,,162,0.328,0.403
SEA,AL,1986,718,835,67,0.326,0.399,0.253,0,,,162,0.351,0.444
SFG,NL,1986,698,618,83,0.322,0.375,0.253,0,,,162,0.309,0.367
STL,NL,1986,601,611,79,0.309,0.327,0.236,0,,,161,0.309,0.377
TEX,AL,1986,771,743,87,0.331,0.428,0.267,0,,,162,0.338,0.413
TOR,AL,1986,809,733,86,0.329,0.427,0.269,0,,,163,0.319,0.404
ATL,NL,1985,632,781,66,0.315,0.363,0.246,0,,,162,0.342,0.411
BAL,AL,1985,818,764,83,0.336,0.43,0.263,0,,,161,0.335,0.419
BOS,AL,1985,800,720,81,0.347,0.429,0.282,0,,,163,0.328,0.398
CAL,AL,1985,732,703,90,0.333,0.386,0.251,0,,,162,0.323,0.414
CHC,NL,1985,686,729,77,0.324,0.39,0.254,0,,,162,0.328,0.408
CHW,AL,1985,736,720,85,0.315,0.392,0.253,0,,,163,0.324,0.408
CIN,NL,1985,677,666,89,0.327,0.376,0.255,0,,,162,0.311,0.378
CLE,AL,1985,729,861,60,0.324,0.385,0.265,0,,,162,0.343,0.433
DET,AL,1985,729,688,84,0.318,0.424,0.253,0,,,161,0.308,0.378
HOU,NL,1985,706,691,83,0.319,0.388,0.261,0,,,162,0.317,0.38
KCR,AL,1985,687,639,91,0.313,0.401,0.252,1,4.0,1.0,162,0.312,0.371
LAD,NL,1985,682,579,95,0.328,0.382,0.261,1,3.0,3.0,162,0.292,0.345
MIL,AL,1985,690,802,71,0.319,0.379,0.263,0,,,161,0.329,0.422
MIN,AL,1985,705,782,77,0.326,0.407,0.264,0,,,162,0.323,0.412
MON,NL,1985,633,636,84,0.31,0.375,0.247,0,,,161,0.307,0.359
NYM,NL,1985,695,568,98,0.323,0.385,0.257,0,,,162,0.299,0.358
NYY,AL,1985,839,660,97,0.344,0.425,0.267,0,,,161,0.314,0.398
OAK,AL,1985,757,787,77,0.325,0.401,0.264,0,,,162,0.329,0.417
PHI,NL,1985,667,673,75,0.312,0.383,0.245,0,,,162,0.328,0.389
PIT,NL,1985,568,708,57,0.311,0.347,0.247,0,,,161,0.326,0.382
SDP,NL,1985,650,622,83,0.32,0.368,0.255,0,,,162,0.309,0.378
SEA,AL,1985,719,818,74,0.326,0.412,0.255,0,,,162,0.341,0.421
SFG,NL,1985,556,674,62,0.299,0.348,0.233,0,,,162,0.314,0.376
STL,NL,1985,747,572,101,0.335,0.379,0.264,1,1.0,2.0,162,0.302,0.353
TEX,AL,1985,617,785,62,0.322,0.381,0.253,0,,,161,0.33,0.422
TOR,AL,1985,759,588,99,0.331,0.425,0.269,1,2.0,3.0,161,0.303,0.381
ATL,NL,1984,632,655,80,0.317,0.361,0.247,0,,,162,0.317,0.382
BAL,AL,1984,681,667,85,0.328,0.391,0.252,0,,,162,0.318,0.391
BOS,AL,1984,810,764,86,0.341,0.441,0.283,0,,,162,0.33,0.407
CAL,AL,1984,696,697,81,0.319,0.381,0.249,0,,,162,0.325,0.401
CHC,NL,1984,762,658,96,0.331,0.397,0.26,1,2.0,3.0,161,0.318,0.375
CHW,AL,1984,679,736,74,0.314,0.395,0.247,0,,,162,0.315,0.397
CIN,NL,1984,627,747,70,0.313,0.356,0.244,0,,,162,0.324,0.391
CLE,AL,1984,761,766,75,0.335,0.384,0.265,0,,,163,0.329,0.404
DET,AL,1984,829,643,104,0.342,0.432,0.271,1,1.0,1.0,162,0.306,0.375
HOU,NL,1984,693,630,80,0.323,0.371,0.264,0,,,162,0.308,0.359
KCR,AL,1984,673,686,84,0.317,0.399,0.268,1,4.0,3.0,162,0.31,0.387
LAD,NL,1984,580,600,79,0.306,0.348,0.244,0,,,162,0.309,0.351
MIL,AL,1984,641,734,67,0.317,0.37,0.262,0,,,161,0.328,0.404
MIN,AL,1984,673,675,81,0.318,0.385,0.265,0,,,162,0.317,0.401
MON,NL,1984,593,585,78,0.312,0.362,0.251,0,,,161,0.307,0.369
NYM,NL,1984,652,676,90,0.32,0.369,0.257,0,,,162,0.321,0.379
NYY,AL,1984,758,679,87,0.339,0.404,0.276,0,,,162,0.323,0.391
OAK,AL,1984,738,796,77,0.327,0.404,0.259,0,,,162,0.345,0.43
PHI,NL,1984,720,690,81,0.333,0.407,0.266,0,,,162,0.304,0.359
PIT,NL,1984,615,567,75,0.31,0.363,0.255,0,,,162,0.305,0.36
SDP,NL,1984,686,634,92,0.317,0.371,0.259,1,3.0,2.0,162,0.31,0.375
SEA,AL,1984,682,774,74,0.324,0.384,0.258,0,,,162,0.342,0.416
SFG,NL,1984,682,807,66,0.328,0.375,0.265,0,,,162,0.338,0.404
STL,NL,1984,652,645,84,0.317,0.351,0.252,0,,,162,0.321,0.374
TEX,AL,1984,656,714,69,0.313,0.377,0.261,0,,,161,0.322,0.401
TOR,AL,1984,750,696,89,0.331,0.421,0.273,0,,,163,0.32,0.394
ATL,NL,1983,746,640,88,0.341,0.4,0.272,0,,,162,0.323,0.394
BAL,AL,1983,799,652,98,0.34,0.421,0.269,1,2.0,1.0,162,0.313,0.387
BOS,AL,1983,724,775,78,0.335,0.409,0.27,0,,,162,0.335,0.421
CAL,AL,1983,722,779,70,0.322,0.393,0.26,0,,,162,0.338,0.409
CHC,NL,1983,701,719,71,0.319,0.401,0.261,0,,,162,0.33,0.394
CHW,AL,1983,800,650,99,0.329,0.413,0.262,1,1.0,3.0,162,0.305,0.375
CIN,NL,1983,623,710,74,0.314,0.356,0.239,0,,,162,0.326,0.396
CLE,AL,1983,704,785,70,0.338,0.369,0.265,0,,,162,0.336,0.403
DET,AL,1983,789,679,92,0.335,0.427,0.274,0,,,162,0.308,0.393
HOU,NL,1983,643,646,85,0.32,0.375,0.257,0,,,162,0.306,0.355
KCR,AL,1983,696,767,79,0.32,0.397,0.271,0,,,163,0.327,0.404
LAD,NL,1983,654,609,91,0.318,0.379,0.25,1,3.0,3.0,163,0.302,0.351
MIL,AL,1983,764,708,87,0.333,0.418,0.277,0,,,162,0.326,0.401
MIN,AL,1983,709,822,70,0.319,0.401,0.261,0,,,162,0.345,0.432
MON,NL,1983,677,646,82,0.326,0.386,0.264,0,,,163,0.312,0.376
NYM,NL,1983,575,680,68,0.3,0.344,0.241,0,,,162,0.327,0.377
NYY,AL,1983,770,703,91,0.337,0.416,0.273,0,,,162,0.312,0.379
OAK,AL,1983,708,782,74,0.326,0.381,0.262,0,,,162,0.334,0.406
PHI,NL,1983,696,635,90,0.329,0.373,0.249,1,4.0,2.0,163,0.311,0.369
PIT,NL,1983,659,648,84,0.325,0.383,0.264,0,,,162,0.318,0.375
SDP,NL,1983,653,653,81,0.311,0.351,0.25,0,,,163,0.315,0.389
SEA,AL,1983,558,740,60,0.301,0.36,0.24,0,,,162,0.335,0.414
SFG,NL,1983,687,697,79,0.325,0.375,0.247,0,,,162,0.319,0.383
STL,NL,1983,679,710,79,0.335,0.384,0.27,0,,,162,0.325,0.387
TEX,AL,1983,639,609,77,0.31,0.366,0.255,0,,,163,0.31,0.367
TOR,AL,1983,795,726,89,0.338,0.436,0.277,0,,,162,0.323,0.4
ATL,NL,1982,739,702,89,0.325,0.383,0.256,1,4.0,3.0,162,0.324,0.392
BAL,AL,1982,774,687,94,0.341,0.419,0.266,0,,,163,0.315,0.392
BOS,AL,1982,753,713,89,0.34,0.407,0.274,0,,,162,0.331,0.416
CAL,AL,1982,814,670,93,0.347,0.433,0.274,1,2.0,3.0,162,0.318,0.387
CHC,NL,1982,676,709,73,0.317,0.375,0.26,0,,,162,0.322,0.39
CHW,AL,1982,786,710,87,0.337,0.413,0.273,0,,,162,0.323,0.384
CIN,NL,1982,545,661,61,0.31,0.35,0.251,0,,,162,0.323,0.377
CLE,AL,1982,683,748,78,0.341,0.373,0.262,0,,,162,0.324,0.39
DET,AL,1982,729,685,83,0.324,0.418,0.266,0,,,162,0.319,0.406
HOU,NL,1982,569,620,77,0.302,0.349,0.247,0,,,162,0.306,0.357
KCR,AL,1982,784,717,90,0.337,0.428,0.285,0,,,162,0.318,0.405
LAD,NL,1982,691,612,88,0.327,0.388,0.264,0,,,162,0.298,0.34
MIL,AL,1982,891,717,95,0.335,0.455,0.279,1,1.0,2.0,163,0.328,0.41
MIN,AL,1982,657,819,60,0.316,0.396,0.257,0,,,162,0.342,0.446
MON,NL,1982,697,616,86,0.325,0.396,0.262,0,,,162,0.303,0.363
NYM,NL,1982,609,723,65,0.305,0.35,0.247,0,,,162,0.336,0.403
NYY,AL,1982,709,716,79,0.328,0.398,0.256,0,,,162,0.319,0.383
OAK,AL,1982,691,819,68,0.309,0.367,0.236,0,,,162,0.34,0.432
PHI,NL,1982,664,654,89,0.323,0.376,0.26,0,,,162,0.311,0.359
PIT,NL,1982,724,696,84,0.327,0.408,0.273,0,,,162,0.318,0.379
SDP,NL,1982,675,658,81,0.311,0.359,0.257,0,,,162,0.303,0.374
SEA,AL,1982,651,712,76,0.311,0.381,0.254,0,,,162,0.32,0.41
SFG,NL,1982,673,687,87,0.327,0.376,0.253,0,,,162,0.321,0.379
STL,NL,1982,685,609,92,0.334,0.364,0.264,1,3.0,1.0,162,0.317,0.366
TEX,AL,1982,590,749,64,0.308,0.359,0.249,0,,,162,0.336,0.407
TOR,AL,1982,651,701,78,0.314,0.383,0.262,0,,,162,0.317,0.396
ATL,NL,1981,395,416,50,0.306,0.349,0.243,0,,,107,0.313,0.367
BAL,AL,1981,429,437,59,0.329,0.379,0.251,0,,,105,0.323,0.394
BOS,AL,1981,519,481,59,0.34,0.399,0.275,0,,,108,0.324,0.396
CAL,AL,1981,476,453,51,0.33,0.38,0.256,0,,,110,0.318,0.386
CHC,NL,1981,370,483,38,0.303,0.34,0.236,0,,,106,0.334,0.383
CHW,AL,1981,476,423,54,0.335,0.387,0.272,0,,,106,0.316,0.379
CIN,NL,1981,464,440,66,0.335,0.385,0.267,0,,,108,0.312,0.364
CLE,AL,1981,431,442,52,0.327,0.351,0.263,0,,,103,0.327,0.391
DET,AL,1981,427,404,60,0.331,0.368,0.256,0,,,109,0.308,0.37
HOU,NL,1981,394,331,61,0.318,0.356,0.257,1,,,110,0.286,0.322
KCR,AL,1981,397,405,50,0.325,0.383,0.267,1,,,103,0.31,0.374
LAD,NL,1981,450,356,63,0.323,0.374,0.262,1,,,110,0.298,0.343
MIL,AL,1981,493,459,62,0.313,0.391,0.257,1,,,109,0.325,0.385
MIN,AL,1981,378,486,41,0.293,0.338,0.24,0,,,110,0.334,0.397
MON,NL,1981,443,394,60,0.316,0.37,0.246,1,,,108,0.296,0.349
NYM,NL,1981,348,432,41,0.308,0.356,0.248,0,,,105,0.318,0.38
NYY,AL,1981,421,343,59,0.325,0.391,0.252,1,,,107,0.29,0.346
OAK,AL,1981,458,403,64,0.312,0.379,0.247,1,,,109,0.307,0.37
PHI,NL,1981,491,472,59,0.341,0.389,0.273,1,,,107,0.325,0.385
PIT,NL,1981,407,425,46,0.311,0.369,0.257,0,,,103,0.326,0.377
SDP,NL,1981,382,455,41,0.313,0.346,0.256,0,,,110,0.336,0.387
SEA,AL,1981,426,521,44,0.314,0.368,0.251,0,,,110,0.331,0.396
SFG,NL,1981,427,414,56,0.32,0.357,0.25,0,,,111,0.322,0.367
STL,NL,1981,464,417,59,0.336,0.377,0.265,0,,,103,0.309,0.355
TEX,AL,1981,452,389,57,0.326,0.369,0.27,0,,,105,0.304,0.36
TOR,AL,1981,329,466,37,0.286,0.33,0.226,0,,,106,0.323,0.383
ATL,NL,1980,630,660,81,0.307,0.38,0.25,0,,,161,0.311,0.382
BAL,AL,1980,805,640,100,0.342,0.413,0.273,0,,,162,0.321,0.395
BOS,AL,1980,757,767,83,0.34,0.436,0.283,0,,,160,0.334,0.407
CAL,AL,1980,698,797,65,0.332,0.378,0.265,0,,,160,0.338,0.417
CHC,NL,1980,614,728,64,0.309,0.365,0.251,0,,,162,0.335,0.392
CHW,AL,1980,587,722,70,0.311,0.37,0.259,0,,,162,0.328,0.389
CIN,NL,1980,707,670,89,0.327,0.386,0.262,0,,,163,0.313,0.374
CLE,AL,1980,738,807,79,0.35,0.381,0.277,0,,,160,0.338,0.415
DET,AL,1980,830,757,84,0.348,0.409,0.273,0,,,163,0.33,0.407
HOU,NL,1980,637,589,93,0.326,0.367,0.261,1,3.0,3.0,163,0.302,0.345
KCR,AL,1980,809,694,97,0.345,0.413,0.286,1,2.0,2.0,162,0.319,0.39
LAD,NL,1980,663,591,92,0.323,0.388,0.263,0,,,163,0.302,0.359
MIL,AL,1980,811,682,86,0.329,0.448,0.275,0,,,162,0.321,0.398
MIN,AL,1980,670,724,77,0.319,0.381,0.265,0,,,161,0.324,0.394
MON,NL,1980,694,629,90,0.324,0.388,0.257,0,,,162,0.313,0.371
NYM,NL,1980,611,702,67,0.319,0.345,0.257,0,,,162,0.323,0.395
NYY,AL,1980,820,662,103,0.343,0.425,0.267,1,1.0,3.0,162,0.312,0.372
OAK,AL,1980,686,642,83,0.322,0.385,0.259,0,,,162,0.308,0.381
PHI,NL,1980,728,639,91,0.327,0.4,0.27,1,4.0,1.0,162,0.315,0.361
PIT,NL,1980,666,646,83,0.322,0.388,0.266,0,,,162,0.312,0.373
SDP,NL,1980,591,654,73,0.324,0.342,0.255,0,,,163,0.325,0.375
SEA,AL,1980,610,793,59,0.308,0.356,0.248,0,,,163,0.337,0.417
SFG,NL,1980,573,634,75,0.308,0.342,0.244,0,,,161,0.319,0.369
STL,NL,1980,738,710,74,0.328,0.4,0.275,0,,,162,0.322,0.373
TEX,AL,1980,756,752,76,0.339,0.405,0.284,0,,,163,0.336,0.403
TOR,AL,1980,624,762,67,0.309,0.383,0.251,0,,,162,0.343,0.415
ATL,NL,1979,669,763,66,0.318,0.377,0.256,0,,,160,0.331,0.403
BAL,AL,1979,757,582,102,0.336,0.419,0.261,1,1.0,2.0,159,0.298,0.371
BOS,AL,1979,841,711,91,0.344,0.456,0.283,0,,,160,0.325,0.399
CAL,AL,1979,866,768,88,0.351,0.429,0.282,1,4.0,3.0,162,0.333,0.406
CHC,NL,1979,706,707,80,0.329,0.403,0.269,0,,,162,0.331,0.397
CHW,AL,1979,730,748,73,0.333,0.41,0.275,0,,,160,0.331,0.393
CIN,NL,1979,731,644,90,0.338,0.396,0.264,1,3.0,3.0,161,0.315,0.372
CLE,AL,1979,760,805,81,0.34,0.384,0.258,0,,,161,0.336,0.413
DET,AL,1979,770,738,84,0.339,0.415,0.269,0,,,161,0.331,0.418
HOU,NL,1979,583,582,89,0.315,0.344,0.256,0,,,162,0.3,0.352
KCR,AL,1979,851,816,85,0.343,0.422,0.282,0,,,162,0.327,0.412
LAD,NL,1979,739,717,79,0.331,0.412,0.263,0,,,162,0.324,0.38
MIL,AL,1979,807,722,95,0.345,0.448,0.28,0,,,161,0.322,0.412
MIN,AL,1979,764,725,82,0.341,0.402,0.278,0,,,162,0.334,0.411
MON,NL,1979,701,581,95,0.319,0.408,0.264,0,,,160,0.306,0.369
NYM,NL,1979,593,706,63,0.313,0.35,0.25,0,,,163,0.333,0.392
NYY,AL,1979,734,672,89,0.328,0.406,0.266,0,,,160,0.319,0.392
OAK,AL,1979,573,860,54,0.302,0.346,0.239,0,,,162,0.359,0.438
PHI,NL,1979,683,718,84,0.34,0.396,0.266,0,,,163,0.322,0.395
PIT,NL,1979,775,643,98,0.33,0.416,0.272,1,2.0,1.0,163,0.312,0.375
SDP,NL,1979,603,681,68,0.311,0.348,0.242,0,,,161,0.32,0.379
SEA,AL,1979,711,820,67,0.331,0.404,0.269,0,,,162,0.344,0.429
SFG,NL,1979,672,751,71,0.319,0.365,0.246,0,,,162,0.334,0.405
STL,NL,1979,731,693,86,0.331,0.401,0.278,0,,,163,0.315,0.382
TEX,AL,1979,750,698,83,0.334,0.409,0.278,0,,,162,0.317,0.389
TOR,AL,1979,613,862,53,0.311,0.363,0.251,0,,,162,0.349,0.44
ATL,NL,1978,600,750,69,0.315,0.363,0.244,0,,,162,0.331,0.396
BAL,AL,1978,659,633,90,0.326,0.396,0.258,0,,,161,0.313,0.375
BOS,AL,1978,796,657,99,0.336,0.424,0.267,0,,,163,0.323,0.398
CAL,AL,1978,691,666,87,0.33,0.37,0.259,0,,,162,0.323,0.388
CHC,NL,1978,664,724,79,0.331,0.361,0.264,0,,,162,0.327,0.39
CHW,AL,1978,634,731,71,0.317,0.379,0.264,0,,,161,0.33,0.402
CIN,NL,1978,710,688,92,0.334,0.393,0.256,0,,,161,0.325,0.387
CLE,AL,1978,639,694,69,0.323,0.379,0.261,0,,,159,0.328,0.387
DET,AL,1978,714,653,86,0.339,0.392,0.271,0,,,162,0.322,0.397
HOU,NL,1978,605,634,74,0.313,0.355,0.258,0,,,162,0.315,0.362
KCR,AL,1978,743,634,92,0.329,0.399,0.268,1,3.0,3.0,162,0.309,0.369
LAD,NL,1978,727,573,95,0.338,0.402,0.264,1,2.0,2.0,162,0.304,0.364
MIL,AL,1978,804,650,93,0.339,0.432,0.276,0,,,162,0.31,0.375
MIN,AL,1978,666,678,73,0.339,0.375,0.267,0,,,162,0.326,0.387
MON,NL,1978,633,611,76,0.306,0.379,0.254,0,,,162,0.319,0.381
NYM,NL,1978,607,690,66,0.314,0.352,0.245,0,,,162,0.325,0.384
NYY,AL,1978,735,582,100,0.329,0.388,0.267,1,1.0,1.0,163,0.302,0.363
OAK,AL,1978,532,690,69,0.303,0.351,0.245,0,,,162,0.326,0.383
PHI,NL,1978,708,586,90,0.328,0.388,0.258,1,4.0,3.0,162,0.299,0.365
PIT,NL,1978,684,637,88,0.32,0.385,0.257,0,,,161,0.309,0.364
SDP,NL,1978,591,598,84,0.321,0.348,0.252,0,,,162,0.313,0.355
SEA,AL,1978,614,834,56,0.314,0.359,0.248,0,,,160,0.344,0.429
SFG,NL,1978,613,594,89,0.318,0.374,0.248,0,,,162,0.304,0.35
STL,NL,1978,600,657,69,0.303,0.358,0.249,0,,,162,0.319,0.368
TEX,AL,1978,692,632,87,0.332,0.381,0.253,0,,,162,0.308,0.371
TOR,AL,1978,590,775,59,0.308,0.359,0.25,0,,,161,0.346,0.428
ATL,NL,1977,678,895,61,0.32,0.376,0.254,0,,,162,0.356,0.44
BAL,AL,1977,719,653,97,0.329,0.393,0.261,0,,,161,0.319,0.39
BOS,AL,1977,859,712,97,0.345,0.465,0.281,0,,,161,0.322,0.411
CAL,AL,1977,675,695,74,0.324,0.386,0.255,0,,,162,0.326,0.397
CHC,NL,1977,692,739,81,0.33,0.387,0.266,0,,,162,0.322,0.386
CHW,AL,1977,844,771,90,0.344,0.444,0.278,0,,,162,0.335,0.411
CIN,NL,1977,802,725,88,0.345,0.436,0.274,0,,,162,0.33,0.412
CLE,AL,1977,676,739,71,0.334,0.38,0.269,0,,,161,0.325,0.396
DET,AL,1977,714,751,74,0.318,0.41,0.264,0,,,162,0.324,0.41
HOU,NL,1977,680,650,81,0.32,0.385,0.254,0,,,162,0.315,0.376
KCR,AL,1977,822,651,102,0.34,0.436,0.277,1,1.0,3.0,162,0.311,0.373
LAD,NL,1977,769,582,98,0.336,0.418,0.266,1,4.0,2.0,162,0.304,0.37
MIL,AL,1977,639,765,67,0.314,0.389,0.258,0,,,162,0.334,0.406
MIN,AL,1977,867,776,84,0.348,0.417,0.282,0,,,161,0.336,0.42
MON,NL,1977,665,736,75,0.318,0.402,0.26,0,,,162,0.321,0.39
NYM,NL,1977,587,663,64,0.313,0.346,0.244,0,,,162,0.313,0.375
NYY,AL,1977,831,651,100,0.344,0.444,0.281,1,3.0,1.0,162,0.313,0.388
OAK,AL,1977,605,749,63,0.308,0.352,0.24,0,,,161,0.329,0.407
PHI,NL,1977,847,668,101,0.346,0.448,0.279,1,2.0,3.0,162,0.319,0.392
PIT,NL,1977,734,665,96,0.331,0.413,0.274,0,,,162,0.308,0.385
SDP,NL,1977,692,834,69,0.324,0.375,0.249,0,,,162,0.348,0.426
SEA,AL,1977,624,855,64,0.312,0.381,0.256,0,,,162,0.342,0.442
SFG,NL,1977,673,711,75,0.323,0.383,0.253,0,,,162,0.328,0.388
STL,NL,1977,737,688,83,0.33,0.388,0.27,0,,,162,0.323,0.398
TEX,AL,1977,767,657,94,0.342,0.405,0.27,0,,,162,0.311,0.383
TOR,AL,1977,605,822,54,0.316,0.365,0.252,0,,,161,0.346,0.429
ATL,NL,1976,620,700,70,0.32,0.334,0.245,0,,,162,0.327,0.377
BAL,AL,1976,619,598,88,0.31,0.358,0.243,0,,,162,0.311,0.359
BOS,AL,1976,716,660,83,0.324,0.402,0.263,0,,,162,0.315,0.378
CAL,AL,1976,550,631,76,0.306,0.318,0.235,0,,,162,0.309,0.36
CHC,NL,1976,611,728,75,0.313,0.356,0.251,0,,,162,0.323,0.389
CHW,AL,1976,586,745,64,0.314,0.349,0.255,0,,,161,0.335,0.389
CIN,NL,1976,857,633,102,0.357,0.424,0.28,1,1.0,1.0,162,0.315,0.37
CLE,AL,1976,615,615,81,0.321,0.359,0.263,0,,,159,0.32,0.367
DET,AL,1976,609,709,74,0.315,0.365,0.257,0,,,161,0.327,0.386
HOU,NL,1976,625,657,80,0.322,0.347,0.256,0,,,162,0.328,0.374
KCR,AL,1976,713,611,90,0.327,0.371,0.269,1,4.0,3.0,162,0.307,0.354
LAD,NL,1976,608,543,92,0.313,0.349,0.251,0,,,162,0.301,0.356
MIL,AL,1976,570,655,66,0.311,0.34,0.246,0,,,161,0.328,0.383
MIN,AL,1976,743,704,85,0.341,0.375,0.274,0,,,162,0.332,0.384
MON,NL,1976,531,734,55,0.291,0.34,0.235,0,,,162,0.341,0.391
NYM,NL,1976,615,538,86,0.319,0.352,0.246,0,,,162,0.286,0.338
NYY,AL,1976,730,575,97,0.328,0.389,0.269,1,3.0,2.0,159,0.296,0.353
OAK,AL,1976,686,598,87,0.323,0.361,0.246,0,,,161,0.304,0.361
PHI,NL,1976,770,557,101,0.338,0.395,0.272,1,2.0,3.0,162,0.298,0.354
PIT,NL,1976,708,630,92,0.321,0.391,0.267,0,,,162,0.306,0.358
